,0
0,ITC
1,ONGC
2,NTPC
3,COALINDIA
4,POWERGRID
5,WIPRO
6,IOC
7,JIOFIN
8,TATASTEEL
9,IRFC
10,ZOMATO
11,BEL
12,PNB
13,BANKBARODA
14,BPCL
15,PFC
16,TATAPOWER
17,GAIL
18,UNIONBANK
19,CANBK
20,VEDL
21,NHPC
22,IDBI
23,BHEL
24,MOTHERSON
25,INDUSTOWER
26,HINDPETRO
27,BERGEPAINT
28,OIL
29,BANKINDIA
30,NMDC
31,GICRE
32,SAIL
33,JSWINFRA
34,ASHOKLEY
35,SJVN
36,NYKAA
37,ABCAPITAL
38,KALYANKJIL
39,AWL
40,PETRONET
41,L&TFH
42,MRPL
43,HUDCO
44,NIACL
45,FEDERALBNK
46,IREDA
47,POONAWALLA
48,M&MFIN
49,UPL
50,DELHIVERY
51,FORTIS
52,BIOCON
53,NLCINDIA
54,IGL
55,APOLLOTYRE
56,JUBLFOOD
57,BANDHANBNK
58,EIHOTEL
59,NATIONALUM
60,HINDCOPPER
61,EXIDEIND
62,PAYTM
63,ITI
64,KIOCL
65,NBCC
66,KANSAINER
67,LAURUSLABS
68,IRCON
69,ASTERDM
70,GSPL
71,ABFRL
72,CASTROLIND
73,DEVYANI
74,IDFC
75,CIEINDIA
76,SUMICHEM
77,CROMPTON
78,PPLPHARMA
79,INOXWIND
80,CGCL
81,REDINGTON
82,JYOTHYLAB
83,CESC
84,APTUS
85,FINPIPE
86,J&KBANK
87,KARURVYSYA
88,MANAPPURAM
89,NCC
90,RBLBANK
91,VGUARD
92,FSL
93,CHAMBLFERT
94,WELSPUNLIV
95,HSCL
96,ZEEL
97,HFCL
98,HONASA
99,IIFL
100,BLS
101,VTL
102,IEX
103,SPARC
104,GRAPHITE
105,RAILTEL
106,JUNIPER
107,ENGINERSIN
108,JKTYRE
109,PNCINFRA
110,GMDCLTD
111,NUVOCO
112,RELINFRA
113,ANANTRAJ
114,ELECTCAST
115,DBREALTY
116,LATENTVIEW
117,GRANULES
118,LEMONTREE
119,GPPL
120,PCBL
121,CUB
122,MINDACORP
123,MMTC
124,SCI
125,USHAMART
126,STARCEMENT
127,PRSMJOHNSN
128,IBULHSGFIN
129,SYRMA
130,MHRIL
131,KTKBANK
132,THOMASCOOK
133,GSFC
134,RAJESHEXPO
135,TMB
136,MANINFRA
137,VIPIND
138,RESPONIND
139,MIDHANI
140,EMIL
141,GAEL
142,BALRAMCHIN
143,SARDAEN
144,JMFINANCIL
145,CHEMPLASTS
146,ARVIND
147,RCF
148,ICIL
149,KNRCON
150,FDC
151,RELIGARE
152,MARKSANS
153,NIITMTS
154,TRIVENI
155,TVSSCS
156,SAREGAMA
157,DBL
158,BLUEJET
159,INDIACEM
160,CAMPUS
161,LTFOODS
162,BORORENEW
163,LXCHEM
164,GREENLAM
165,CMSINFO
166,KRBL
167,TEXRAIL
168,IBREALEST
169,JINDWORLD
170,PDSL
171,CSBBANK
172,SHAREINDIA
173,VAIBHAVGBL
174,ARVINDFASN
175,GENUSPOWER
176,SIS
177,SANDUMA
178,UJJIVAN
179,ITDCEM
180,EPL
181,SUPRAJIT
182,HEMIPROP
183,MOIL
184,TIMETECHNO
185,ASKAUTOLTD
186,PTC
187,JKPAPER
188,CHOICEIN
189,HNDFDS
190,KESORAMIND
191,JAMNAAUTO
192,RSYSTEMS
193,RAIN
194,JAICORPLTD
195,RBA
196,GATEWAY
197,PURVA
198,RALLIS
199,VRLLOG
200,GABRIEL
201,PRICOLLTD
202,HCG
203,DBCORP
204,FUSION
205,MASFIN
206,SULA
207,TDPOWERSYS
208,GALLANTT
209,SAMHI
210,GOPAL
211,JTEKTINDIA
212,HEIDELBERG
213,SUNDARMHLD
214,STLTECH
215,ASHOKA
216,PGEL
217,NFL
218,GHCL
219,WELENT
220,FEDFINA
221,NOCIL
222,TARC
223,ORIENTELEC
224,BOROLTD
225,BALMLAWRIE
226,FCL
227,PARKHOTELS
228,MAXESTATES
229,TI
230,ORIENTCEM
231,AARTIDRUGS
232,ADVENZYMES
233,GREENPANEL
234,BBOX
235,IIFLSEC
236,DCBBANK
237,DCAL
238,HARSHA
239,YATHARTH
240,ZAGGLE
241,KOLTEPATIL
242,MEDIASSIST
243,INOXGREEN
244,SSWL
245,UNICHEMLAB
246,ASHAPURMIN
247,MUTHOOTMF
248,SUNFLAG
249,SKIPPER
250,LAOPALA
251,LUMAXTECH
252,DCXINDIA
253,BOMDYEING
254,HIKAL
255,AVALON
256,JTLIND
257,HERITGFOOD
258,NAVNETEDUL
259,KALAMANDIR
260,INDOCO
261,BAJAJCON
262,PRAKASH
263,DELTACORP
264,RAJRATAN
265,MAHLOG
266,PFOCUS
267,GREAVESCOT
268,DOLLAR
269,UFLEX
270,SHARDACROP
271,SEQUENT
272,GREENPLY
273,SHK
274,GUFICBIO
275,BLSE
276,HLEGLAS
277,ASHIANA
278,DALMIASUG
279,HINDWAREAP
280,SAGCEM
281,SAKSOFT
282,APOLLO
283,SUPRIYA
284,FLAIR
285,ISMTLTD
286,NRBBEARING
287,DREAMFOLKS
288,SHALBY
289,QUICKHEAL
290,REPCOHOME
291,PARAGMILK
292,BAJEL
293,GIPCL
294,EVEREADY
295,TAJGVK
296,TIRUMALCHM
297,EXICOM
298,FINOPB
299,UNIPARTS
300,INDOSTAR
301,HINDOILEXP
302,IPL
303,BSHSL
304,SATIN
305,AXISCADES
306,ARTEMISMED
307,PRECWIRE
308,VIDHIING
309,APCOTEXIND
310,HUHTAMAKI
311,GOCLCORP
312,YATRA
313,KCP
314,JAGRAN
315,SANGAMIND
316,BEPL
317,CAPACITE
318,SUVEN
319,MANINDS
320,IKIO
321,OPTIEMUS
322,MUKANDLTD
323,UDS
324,ALEMBICLTD
325,IOLCP
326,MBAPL
327,TARSONS
328,VISHNU
329,RPTECH
330,ORIENTHOT
331,UGROCAP
332,SDBL
333,ADFFOODS
334,MUFIN
335,THEMISMED
336,PANAMAPET
337,SIGNPOST
338,HITECH
339,SIYSIL
340,DEEPINDS
341,PNBGILTS
342,RICOAUTO
343,GANDHAR
344,BARBEQUE
345,ANDHRAPAP
346,IRMENERGY
347,SHRIRAMPPS
348,RUPA
349,PRECAM
350,BHARATWIRE
351,GTPL
352,VPRPL
353,SCILAL
354,SESHAPAPER
355,NITINSPIN
356,GOLDIAM
357,FMGOETZE
358,PENIND
359,GEPIL
360,PVSL
361,63MOONS
362,CANTABIL
363,RAMCOIND
364,VSSL
365,SURYODAY
366,TNPL
367,RISHABH
368,SERVOTECH
369,BHAGCHEM
370,OMAXE
371,GNA
372,GOKULAGRO
373,TALBROAUTO
374,DCMSRIND
375,MOTISONS
376,5PAISA
377,KIRIINDUS
378,CAPITALSFB
379,INDRAMEDCO
380,AEROFLEX
381,SIRCA
382,BLKASHYAP
383,TFCILTD
384,GEOJITFSL
385,SBGLP
386,SMSPHARMA
387,CAMLINFINE
388,REFEX
389,KRISHANA
390,EKC
391,EPACK
392,GPTHEALTH
393,SHREDIGCEM
394,NIITLTD
395,BIGBLOC
396,SHALPAINTS
397,KAMDHENU
398,RKSWAMY
399,NAVKARCORP
400,DHAMPURSUG
401,NDTV
402,ARIHANTSUP
403,KUANTUM
404,APTECHT
405,INDIANHUME
406,AHL
407,GANESHBE
408,SMCGLOBAL
409,MADRASFERT
410,IGARASHI
411,JAYBARMARU
412,TVTODAY
413,XCHANGING
414,ANDHRSUGAR
415,KOPRAN
416,ENIL
417,VERANDA
418,MVGJL
419,OMINFRAL
420,KITEX
421,TEXINFRA
422,HIMATSEIDE
423,DOLATALGO
424,MANGCHEFER
425,UTTAMSUGAR
426,MARINE
427,BLISSGVS
428,SAURASHCEM
429,SICALLOG
430,PAKKA
431,HERANBA
432,RAMRAT
433,DVL
434,NELCAST
435,KOKUYOCMLN
436,STERTOOLS
437,TIL
438,CSLFINANCE
439,GICHSGFIN
440,SATIA
441,MUFTI
442,CREST
443,ASIANENE
444,CLSEL
445,HUBTOWN
446,VALIANTORG
447,KABRAEXTRU
448,GULPOLY
449,HEUBACHIND
450,OAL
451,ONWARDTEC
452,ROHLTD
453,BLAL
454,SATINDLTD
455,VIMTALABS
456,ZUARIIND
457,GSLSU
458,NAHARSPING
459,MANALIPETC
460,SASTASUNDR
461,FOCUS
462,KELLTONTEC
463,PLATIND
464,KERNEX
465,RAMCOSYS
466,WALCHANNAG
467,UNIENTER
468,SEMAC
469,VISAKAIND
470,LIKHITHA
471,AMNPLST
472,GPTINFRA
473,NINSYS
474,TRACXN
475,INFOBEAN
476,CENTENKA
477,HPAL
478,FAZE3Q
479,MAXIND
480,VLSFINANCE
481,SPECIALITY
482,CHEMCON
483,PPL
484,NCLIND
485,HEXATRADEX
486,SCHAND
487,DYCL
488,BAJAJHCARE
489,RSWM
490,SAKAR
491,HMVL
492,INDOAMIN
493,RUSHIL
494,ADSL
495,DBOL
496,DHARMAJ
497,PANACEABIO
498,STCINDIA
499,MAANALU
500,NRAIL
501,JAGSNPHARM
502,GHCLTEXTIL
503,KOTHARIPET
504,CONSOFINVT
505,ZUARI
506,GRMOVER
507,BEDMUTHA
508,SUKHJITS
509,ESTER
510,WSI
511,TNPETRO
512,FOODSIN
513,THEINVEST
514,TBZ
515,KECL
516,EMAMIPAP
517,LOKESHMACH
518,AVG
519,DMCC
520,BIRLACABLE
521,JGCHEM
522,KRITI
523,ELIN
524,DPWIRES
525,OCCL
526,MUNJALSHOW
527,MMP
528,JAYAGROGN
529,SREEL
530,SPMLINFRA
531,BHAGERIA
532,VALIANTLAB
533,MENONBE
534,KILITCH
535,PAVNAIND
536,APEX
537,KAMATHOTEL
538,RUBYMILLS
539,LGHL
540,PRIMESECU
541,RBZJEWEL
542,PLASTIBLEN
543,PDMJEPAPER
544,INDSWFTLAB
545,STEL
546,SIMPLEXINF
547,VINYLINDIA
548,HINDCOMPOS
549,DEEPENR
550,SHREYAS
551,SKMEGGPROD
552,RATNAVEER
553,KHADIM
554,BIRLAMONEY
555,BBTCL
556,GEECEE
557,RACE
558,RITCO
559,BALAXI
560,PYRAMID
561,REMSONSIND
562,UFO
563,INDOBORAX
564,MOLDTECH
565,MINDTECK
566,20MICRONS
567,ORIENTBELL
568,DONEAR
569,CAREERP
570,SHREEPUSHK
571,DIAMINESQ
572,SILINV
573,BANSWRAS
574,APCL
575,NAHARINDUS
576,SGIL
577,MEDICAMEQ
578,TPLPLASTEH
579,RSSOFTWARE
580,WANBURY
581,KANORICHEM
582,VSTL
583,LIBERTSHOE
584,GLOBAL
585,TVSELECT
586,KRITINUT
587,NAHARCAP
588,ZIMLAB
589,UNIDT
590,SARLAPOLY
591,TRF
592,AUTOIND
593,MUTHOOTCAP
594,AYMSYNTEX
595,NAHARPOLY
596,IITL
597,GOLDTECH
598,VENUSREM
599,WINDMACHIN
600,BPL
601,CYBERTECH
602,CINELINE
603,NIPPOBATRY
604,PREMIERPOL
605,RPPINFRA
606,KAYA
607,SEJALLTD
608,SHEMAROO
609,IFBAGRO
610,DICIND
611,PRECOT
612,ASAHISONG
613,ORBTEXP
614,MODISONLTD
615,AURUM
616,SAHYADRI
617,UNIVPHOTO
618,SCPL
619,SIGMA
620,IZMO
621,SINTERCOM
622,PODDARMENT
623,DCMNVL
624,LYKALABS
625,STARPAPER
626,SRGHFL
627,PONNIERODE
628,KOTHARIPRO
629,HITECHCORP
630,RUCHIRA
631,MAHEPC
632,MAWANASUG
633,RHL
634,NATHBIOGEN
635,EIFFL
636,UCAL
637,COASTCORP
638,BIL
639,ARIES
640,DYNPRO
641,MHLXMIRU
642,NDLVENTURE
643,SMLT
644,HARRMALAYA
645,SOFTTECH
646,MANOMAY
647,REPL
648,SHREYANIND
649,TIPSFILMS
650,SOUTHWEST
651,TRIGYN
652,EMKAY
653,INDOTHAI
654,RAMAPHO
655,LORDSCHLO
656,TEMBO
657,ZODIACLOTH
658,AARON
659,JAYSREETEA
660,INTENTECH
661,PAR
662,MEGASTAR
663,BHAGYANGR
664,TARACHAND
665,ASIANHOTNR
666,SVLL
667,GUJAPOLLO
668,NURECA
669,STARTECK
670,RKEC
671,LOYALTEX
672,KAPSTON
673,THOMASCOTT
674,PPAP
675,DELPHIFX
676,DCI
677,AHLEAST
678,VETO
679,MANORG
680,AIROLAM
681,TTL
682,JMA
683,CORDSCABLE
684,DEVIT
685,IRIS
686,CROWN
687,RANEENGINE
688,OMAXAUTO
689,TREJHARA
690,MODIRUBBER
691,PRITI
692,SUPERHOUSE
693,ALPHAGEO
694,LAGNAM
695,AKSHARCHEM
696,ASPINWALL
697,DTIL
698,KANPRPLA
699,MAHAPEXLTD
700,DJML
701,SHIVATEX
702,DHRUV
703,NITIRAJ
704,ATAM
705,AARVI
706,WEIZMANIND
707,GLOBALVECT
708,SMARTLINK
709,XELPMOC
710,UMANGDAIRY
711,BSL
712,MAHASTEEL
713,ARCHIDPLY
714,CTE
715,AARTECH
716,SALONA
717,LOVABLE
718,ISFT
719,IVP
720,WORTH
721,EMMBI
722,ARVEE
723,UNITEDTEA
724,UNIVASTU
725,SOMICONVEY
726,KAKATCEM
727,BHARATGEAR
728,CAPTRUST
729,TOTAL
730,MITCON
731,TOUCHWOOD
732,JOCIL
733,VAISHALI
734,KALYANIFRG
735,RELCHEMQ
736,INDIANCARD
737,MANGALAM
738,PALREDTEC
739,BALPHARMA
740,LAMBODHARA
741,CUBEXTUB
742,AHLADA
743,HPIL
744,PANSARI
745,S&SPOWER
746,AGRITECH
747,DCM
748,SHRADHA
749,WIPL
750,PALASHSECU
751,TAINWALCHM
752,GANGESSECU
753,SIKKO
754,AVROIND
755,ALKALI
756,AAATECH
757,BANKA
758,KEYFINSERV
759,PKTEA
760,HISARMETAL
761,TOKYOPLAST
762,ZENITHEXPO
763,PANACHE
764,PIGL
765,TIMESGTY
766,HECPROJECT
767,HBSL
768,BANARBEADS
769,LFIC
770,KALYANI
771,NIRAJISPAT
