tkr,td,op,hp,lp,cp,vol,oi,eod
LUMAXTECH,2024-07-29T00:00:00,579.7,589.2,568.05,574.15,75205,0,True
DCXINDIA,2024-07-29T00:00:00,394.5,397.75,382.1,384.7,241071,0,True
BOMDYEING,2024-07-29T00:00:00,234.5,236.0,227.5,228.9,1625426,0,True
HIKAL,2024-07-29T00:00:00,359.7,362.9,354.05,355.65,240323,0,True
AVALON,2024-07-29T00:00:00,527.0,527.0,514.1,518.45,56622,0,True
JTLIND,2024-07-29T00:00:00,214.5,215.9,209.5,213.48,1734189,0,True
HERITGFOOD,2024-07-29T00:00:00,571.95,578.95,563.0,565.15,653500,0,True
NAVNETEDUL,2024-07-29T00:00:00,155.98,164.7,155.98,162.74,1631990,0,True
KALAMANDIR,2024-07-29T00:00:00,172.41,174.73,171.0,172.84,250770,0,True
INDOCO,2024-07-29T00:00:00,323.1,336.2,323.1,329.7,208035,0,True
BAJAJCON,2024-07-29T00:00:00,275.95,278.9,274.0,278.05,353951,0,True
PRAKASH,2024-07-29T00:00:00,193.0,196.56,190.05,191.88,693036,0,True
DELTACORP,2024-07-29T00:00:00,134.2,137.5,134.2,135.12,1413183,0,True
MAHLOG,2024-07-29T00:00:00,548.95,549.0,527.35,530.65,212978,0,True
PFOCUS,2024-07-29T00:00:00,143.55,147.63,143.5,145.88,130810,0,True
GREAVESCOT,2024-07-29T00:00:00,165.9,170.95,165.06,167.36,3126620,0,True
DOLLAR,2024-07-29T00:00:00,510.0,527.95,508.2,511.0,671921,0,True
UFLEX,2024-07-29T00:00:00,576.0,580.0,567.65,570.7,138230,0,True
SHARDACROP,2024-07-29T00:00:00,565.0,565.1,550.2,553.3,283080,0,True
SEQUENT,2024-07-29T00:00:00,148.7,149.9,141.16,142.16,1222167,0,True
GREENPLY,2024-07-29T00:00:00,326.8,327.8,311.55,317.15,262450,0,True
SHK,2024-07-29T00:00:00,197.9,199.75,196.06,196.46,233808,0,True
GUFICBIO,2024-07-29T00:00:00,351.95,356.4,346.1,351.15,52170,0,True
BLSE,2024-07-29T00:00:00,231.0,232.05,221.5,225.7,602710,0,True
HLEGLAS,2024-07-29T00:00:00,451.2,456.9,441.65,443.2,97040,0,True
ASHIANA,2024-07-29T00:00:00,417.7,417.7,399.0,401.6,102093,0,True
DALMIASUG,2024-07-29T00:00:00,407.25,414.45,405.65,408.45,145846,0,True
HINDWAREAP,2024-07-29T00:00:00,459.4,462.0,441.0,451.0,155041,0,True
SAGCEM,2024-07-29T00:00:00,245.0,251.95,241.05,244.9,427435,0,True
SAKSOFT,2024-07-29T00:00:00,299.0,300.9,292.0,293.65,135720,0,True
APOLLO,2024-07-29T00:00:00,124.0,125.39,121.25,122.0,3665351,0,True
SUPRIYA,2024-07-29T00:00:00,392.5,411.75,390.6,407.85,389782,0,True
FLAIR,2024-07-29T00:00:00,305.0,322.4,304.95,318.0,222827,0,True
ISMTLTD,2024-07-29T00:00:00,147.8,148.0,135.11,139.57,1663616,0,True
NRBBEARING,2024-07-29T00:00:00,330.5,339.0,327.15,329.35,87442,0,True
DREAMFOLKS,2024-07-29T00:00:00,474.0,478.3,470.2,472.15,94546,0,True
SHALBY,2024-07-29T00:00:00,281.3,287.25,280.45,284.45,144136,0,True
QUICKHEAL,2024-07-29T00:00:00,605.0,647.3,578.05,589.35,440992,0,True
REPCOHOME,2024-07-29T00:00:00,541.75,546.95,535.1,538.25,150557,0,True
PARAGMILK,2024-07-29T00:00:00,200.34,202.0,198.0,198.64,924307,0,True
BAJEL,2024-07-29T00:00:00,300.0,300.5,290.0,291.05,346752,0,True
GIPCL,2024-07-29T00:00:00,243.9,247.49,236.75,238.31,562446,0,True
EVEREADY,2024-07-29T00:00:00,423.35,435.95,418.2,421.05,516820,0,True
TAJGVK,2024-07-29T00:00:00,335.0,338.5,331.0,332.85,140948,0,True
TIRUMALCHM,2024-07-29T00:00:00,342.45,350.4,341.0,346.1,785633,0,True
EXICOM,2024-07-29T00:00:00,460.0,479.0,458.95,472.75,437959,0,True
FINOPB,2024-07-29T00:00:00,303.7,305.95,297.85,301.15,137377,0,True
UNIPARTS,2024-07-29T00:00:00,495.45,504.0,494.1,499.65,114788,0,True
INDOSTAR,2024-07-29T00:00:00,251.93,260.0,250.0,252.78,393446,0,True
HINDOILEXP,2024-07-29T00:00:00,270.0,276.4,262.85,266.78,5019488,0,True
IPL,2024-07-29T00:00:00,218.0,222.65,217.01,218.01,567171,0,True
BSHSL,2024-07-29T00:00:00,205.0,205.0,196.1,197.63,31647,0,True
SATIN,2024-07-29T00:00:00,224.0,226.0,220.1,220.98,358806,0,True
AXISCADES,2024-07-29T00:00:00,572.0,575.05,559.25,562.8,82665,0,True
ARTEMISMED,2024-07-29T00:00:00,249.99,265.9,249.99,260.72,579568,0,True
PRECWIRE,2024-07-29T00:00:00,163.1,163.5,159.34,159.8,247380,0,True
VIDHIING,2024-07-29T00:00:00,436.05,447.1,429.95,432.15,27929,0,True
APCOTEXIND,2024-07-29T00:00:00,475.7,490.0,462.15,466.05,148850,0,True
HUHTAMAKI,2024-07-29T00:00:00,385.0,400.95,373.65,376.15,830104,0,True
GOCLCORP,2024-07-29T00:00:00,438.2,445.0,425.05,429.2,282152,0,True
YATRA,2024-07-29T00:00:00,134.85,135.0,130.5,130.93,441091,0,True
KCP,2024-07-29T00:00:00,256.3,257.3,249.02,253.21,583840,0,True
JAGRAN,2024-07-29T00:00:00,102.5,103.9,100.8,101.35,481314,0,True
SANGAMIND,2024-07-29T00:00:00,435.15,436.75,412.05,416.5,58484,0,True
BEPL,2024-07-29T00:00:00,157.15,158.4,153.0,153.33,1726158,0,True
CAPACITE,2024-07-29T00:00:00,318.05,324.05,313.5,317.1,1098412,0,True
SUVEN,2024-07-29T00:00:00,150.8,152.59,140.46,140.56,733151,0,True
MANINDS,2024-07-29T00:00:00,471.95,477.0,456.05,458.8,239564,0,True
IKIO,2024-07-29T00:00:00,301.0,330.0,298.65,325.7,1330635,0,True
OPTIEMUS,2024-07-29T00:00:00,451.05,457.0,443.0,447.95,640385,0,True
MUKANDLTD,2024-07-29T00:00:00,184.3,187.68,179.0,181.18,834926,0,True
UDS,2024-07-29T00:00:00,321.5,329.0,317.0,318.8,553439,0,True
ALEMBICLTD,2024-07-29T00:00:00,156.01,158.15,150.25,151.18,1421420,0,True
IOLCP,2024-07-29T00:00:00,416.5,444.5,416.05,426.75,781460,0,True
MBAPL,2024-07-29T00:00:00,224.25,258.9,224.23,246.52,297745,0,True
TARSONS,2024-07-29T00:00:00,524.95,538.6,512.6,533.55,267106,0,True
VISHNU,2024-07-29T00:00:00,459.0,465.5,455.0,459.8,213363,0,True
RPTECH,2024-07-29T00:00:00,423.85,436.7,410.0,412.3,668814,0,True
ORIENTHOT,2024-07-29T00:00:00,145.0,145.95,140.51,141.37,314224,0,True
WEBELSOLAR,2024-07-29T00:00:00,598.0,605.15,585.0,593.45,81446,0,True
UGROCAP,2024-07-29T00:00:00,265.95,268.45,259.95,262.5,243131,0,True
SDBL,2024-07-29T00:00:00,112.5,114.5,111.05,111.75,890550,0,True
ADFFOODS,2024-07-29T00:00:00,235.0,238.8,231.25,232.3,184383,0,True
MUFIN,2024-07-29T00:00:00,116.0,116.0,111.4,112.23,114167,0,True
THEMISMED,2024-07-29T00:00:00,262.0,272.35,255.0,256.77,518810,0,True
PANAMAPET,2024-07-29T00:00:00,426.0,452.2,426.0,439.95,549565,0,True
SIGNPOST,2024-07-29T00:00:00,256.25,262.8,246.75,251.15,91134,0,True
HITECH,2024-07-29T00:00:00,154.0,154.72,148.41,149.56,745486,0,True
SIYSIL,2024-07-29T00:00:00,524.25,532.0,516.2,523.55,69520,0,True
DEEPINDS,2024-07-29T00:00:00,308.5,315.0,304.1,306.3,267460,0,True
PNBGILTS,2024-07-29T00:00:00,127.65,132.4,127.65,129.77,824709,0,True
RICOAUTO,2024-07-29T00:00:00,135.51,135.99,131.31,132.0,959841,0,True
GANDHAR,2024-07-29T00:00:00,215.5,215.5,209.52,210.33,248700,0,True
BARBEQUE,2024-07-29T00:00:00,550.05,554.25,545.8,547.8,30221,0,True
ANDHRAPAP,2024-07-29T00:00:00,576.0,577.0,571.05,575.6,75838,0,True
IRMENERGY,2024-07-29T00:00:00,463.0,466.7,451.3,455.9,92691,0,True
SHRIRAMPPS,2024-07-29T00:00:00,107.99,109.0,105.23,105.75,1125888,0,True
RUPA,2024-07-29T00:00:00,288.9,330.5,287.05,319.6,6449574,0,True
PRECAM,2024-07-29T00:00:00,189.25,198.55,187.41,197.42,510285,0,True
BHARATWIRE,2024-07-29T00:00:00,260.0,267.55,254.55,262.7,280655,0,True
GTPL,2024-07-29T00:00:00,165.2,169.43,164.8,165.13,67291,0,True
VPRPL,2024-07-29T00:00:00,245.0,268.5,244.89,265.3,9026590,0,True
SCILAL,2024-07-29T00:00:00,101.89,104.67,99.8,101.16,5546151,0,True
SESHAPAPER,2024-07-29T00:00:00,342.0,348.9,339.0,343.45,98520,0,True
NITINSPIN,2024-07-29T00:00:00,431.95,440.95,420.05,421.75,341614,0,True
GOLDIAM,2024-07-29T00:00:00,194.0,194.01,187.85,188.96,485609,0,True
FMGOETZE,2024-07-29T00:00:00,431.0,440.0,427.7,431.55,64143,0,True
PENIND,2024-07-29T00:00:00,181.0,198.7,180.1,196.49,3741095,0,True
GEPIL,2024-07-29T00:00:00,527.95,535.45,515.0,519.25,191035,0,True
PVSL,2024-07-29T00:00:00,245.0,245.0,241.31,242.95,58849,0,True
63MOONS,2024-07-29T00:00:00,363.0,363.0,344.3,356.2,257652,0,True
CANTABIL,2024-07-29T00:00:00,280.01,293.45,280.01,284.0,509053,0,True
RAMCOIND,2024-07-29T00:00:00,248.8,256.36,239.36,242.47,265890,0,True
VSSL,2024-07-29T00:00:00,297.0,299.6,285.55,286.6,94604,0,True
SURYODAY,2024-07-29T00:00:00,184.0,199.5,184.0,191.57,1115666,0,True
TNPL,2024-07-29T00:00:00,262.2,262.9,258.2,259.6,111435,0,True
RISHABH,2024-07-29T00:00:00,430.9,435.95,428.3,430.85,55130,0,True
SERVOTECH,2024-07-29T00:00:00,123.0,124.5,118.4,119.49,1226803,0,True
BHAGCHEM,2024-07-29T00:00:00,357.27,389.3,351.0,362.85,787547,0,True
OMAXE,2024-07-29T00:00:00,154.72,154.72,149.07,154.72,592143,0,True
GNA,2024-07-29T00:00:00,423.15,426.5,420.4,422.15,34276,0,True
GOKULAGRO,2024-07-29T00:00:00,173.0,183.39,171.21,180.56,450648,0,True
TALBROAUTO,2024-07-29T00:00:00,365.0,370.0,355.8,361.1,234913,0,True
DCMSRIND,2024-07-29T00:00:00,218.97,226.75,218.97,220.26,215156,0,True
MOTISONS,2024-07-29T00:00:00,157.69,159.2,154.05,155.3,421353,0,True
5PAISA,2024-07-29T00:00:00,484.8,491.0,481.0,488.45,38234,0,True
KIRIINDUS,2024-07-29T00:00:00,357.0,359.9,353.95,355.3,141430,0,True
CAPITALSFB,2024-07-29T00:00:00,345.95,349.85,344.55,347.85,34658,0,True
INDRAMEDCO,2024-07-29T00:00:00,274.03,282.0,267.01,269.98,663242,0,True
AEROFLEX,2024-07-29T00:00:00,162.0,162.0,156.0,156.28,514381,0,True
SIRCA,2024-07-29T00:00:00,357.25,364.0,351.75,359.3,148224,0,True
BLKASHYAP,2024-07-29T00:00:00,108.09,113.4,107.0,108.29,2189059,0,True
TFCILTD,2024-07-29T00:00:00,187.99,193.71,186.21,191.35,892126,0,True
GEOJITFSL,2024-07-29T00:00:00,118.65,120.69,114.52,115.08,2241518,0,True
SBGLP,2024-07-29T00:00:00,123.8,123.8,121.01,122.04,88406,0,True
SMSPHARMA,2024-07-29T00:00:00,280.1,285.9,275.76,278.42,173347,0,True
CAMLINFINE,2024-07-29T00:00:00,121.39,124.89,120.0,120.87,1500941,0,True
REFEX,2024-07-29T00:00:00,250.9,254.9,248.56,251.44,649406,0,True
KRISHANA,2024-07-29T00:00:00,278.95,309.45,277.1,288.65,208623,0,True
EKC,2024-07-29T00:00:00,164.87,164.87,158.25,159.99,1033965,0,True
EPACK,2024-07-29T00:00:00,272.0,273.3,267.5,269.11,1340562,0,True
GPTHEALTH,2024-07-29T00:00:00,174.99,175.48,170.57,173.57,174180,0,True
SHREDIGCEM,2024-07-29T00:00:00,106.0,107.0,103.22,103.64,2029201,0,True
NIITLTD,2024-07-29T00:00:00,128.6,130.79,124.9,127.82,3294707,0,True
BIGBLOC,2024-07-29T00:00:00,277.59,277.59,265.15,266.65,146132,0,True
SHALPAINTS,2024-07-29T00:00:00,143.79,147.2,143.74,143.9,100950,0,True
KAMDHENU,2024-07-29T00:00:00,516.1,524.75,507.0,510.35,195303,0,True
RKSWAMY,2024-07-29T00:00:00,317.0,317.7,307.0,310.85,650103,0,True
NAVKARCORP,2024-07-29T00:00:00,150.0,155.7,145.1,153.13,2291994,0,True
DHAMPURSUG,2024-07-29T00:00:00,221.95,227.3,221.0,222.0,840126,0,True
NDTV,2024-07-29T00:00:00,222.9,227.88,216.01,220.76,431375,0,True
ARIHANTSUP,2024-07-29T00:00:00,344.5,345.75,338.0,339.95,115385,0,True
KUANTUM,2024-07-29T00:00:00,161.0,163.19,158.2,159.22,70411,0,True
APTECHT,2024-07-29T00:00:00,223.5,229.0,223.0,225.08,572596,0,True
INDIANHUME,2024-07-29T00:00:00,518.95,541.0,516.1,529.9,338551,0,True
AHL,2024-07-29T00:00:00,563.0,576.5,550.25,560.55,823940,0,True
GANESHBE,2024-07-29T00:00:00,171.67,177.0,170.1,171.18,368643,0,True
SMCGLOBAL,2024-07-29T00:00:00,160.0,162.24,158.0,159.99,353502,0,True
MADRASFERT,2024-07-29T00:00:00,116.95,119.75,115.23,116.29,832277,0,True
IGARASHI,2024-07-29T00:00:00,543.2,578.0,536.0,562.75,294830,0,True
JAYBARMARU,2024-07-29T00:00:00,111.63,124.8,111.1,121.69,2848142,0,True
TVTODAY,2024-07-29T00:00:00,249.9,271.1,249.51,261.17,1013883,0,True
XCHANGING,2024-07-29T00:00:00,140.25,142.95,135.95,136.52,800747,0,True
ANDHRSUGAR,2024-07-29T00:00:00,120.0,120.88,116.8,117.17,699263,0,True
KOPRAN,2024-07-29T00:00:00,261.0,266.1,255.5,259.9,385083,0,True
ENIL,2024-07-29T00:00:00,247.42,254.94,246.99,252.41,67125,0,True
VERANDA,2024-07-29T00:00:00,278.01,291.0,278.01,281.37,84039,0,True
MVGJL,2024-07-29T00:00:00,252.99,253.79,242.25,243.47,94831,0,True
OMINFRAL,2024-07-29T00:00:00,215.5,215.5,215.5,215.5,101819,0,True
KITEX,2024-07-29T00:00:00,232.9,236.3,229.0,231.21,327325,0,True
TEXINFRA,2024-07-29T00:00:00,138.49,141.01,135.97,139.45,1184560,0,True
HIMATSEIDE,2024-07-29T00:00:00,144.6,146.28,139.45,140.12,1262483,0,True
DOLATALGO,2024-07-29T00:00:00,136.5,139.99,135.2,137.88,1350292,0,True
MANGCHEFER,2024-07-29T00:00:00,123.99,126.9,123.21,124.0,345140,0,True
UTTAMSUGAR,2024-07-29T00:00:00,332.35,339.55,331.5,332.8,95210,0,True
MARINE,2024-07-29T00:00:00,253.7,253.7,235.0,236.84,640844,0,True
BLISSGVS,2024-07-29T00:00:00,118.0,124.4,118.0,121.58,1043011,0,True
SAURASHCEM,2024-07-29T00:00:00,145.0,146.0,135.7,139.57,372811,0,True
SICALLOG,2024-07-29T00:00:00,138.62,138.62,138.62,138.62,2292,0,True
PAKKA,2024-07-29T00:00:00,276.0,284.1,271.1,274.7,248998,0,True
HERANBA,2024-07-29T00:00:00,395.25,406.15,393.0,401.2,182661,0,True
RAMRAT,2024-07-29T00:00:00,433.0,440.05,417.3,424.7,70431,0,True
DVL,2024-07-29T00:00:00,390.55,426.75,386.45,416.6,437017,0,True
NELCAST,2024-07-29T00:00:00,150.12,152.94,149.11,150.25,135427,0,True
KOKUYOCMLN,2024-07-29T00:00:00,155.5,167.21,155.5,163.51,664554,0,True
STERTOOLS,2024-07-29T00:00:00,385.25,400.0,378.75,390.0,104914,0,True
TIL,2024-07-29T00:00:00,321.4,321.4,303.0,321.4,24497,0,True
CSLFINANCE,2024-07-29T00:00:00,530.0,533.0,501.0,503.9,136545,0,True
GICHSGFIN,2024-07-29T00:00:00,258.9,260.9,256.0,258.33,264273,0,True
SATIA,2024-07-29T00:00:00,126.82,126.82,124.21,125.11,251768,0,True
MUFTI,2024-07-29T00:00:00,161.9,162.54,159.51,159.91,230129,0,True
CREST,2024-07-29T00:00:00,460.0,469.0,441.55,451.65,200034,0,True
ASIANENE,2024-07-29T00:00:00,327.05,343.05,321.15,341.25,103626,0,True
CLSEL,2024-07-29T00:00:00,226.0,226.2,218.0,219.22,102950,0,True
HUBTOWN,2024-07-29T00:00:00,231.54,231.54,231.54,231.54,59411,0,True
VALIANTORG,2024-07-29T00:00:00,400.0,401.75,390.0,392.25,49507,0,True
KABRAEXTRU,2024-07-29T00:00:00,402.0,408.85,400.65,403.9,106258,0,True
GULPOLY,2024-07-29T00:00:00,200.0,201.11,197.13,197.62,82703,0,True
HEUBACHIND,2024-07-29T00:00:00,507.75,507.75,490.0,491.05,50161,0,True
OAL,2024-07-29T00:00:00,463.9,494.55,461.65,470.7,45654,0,True
ONWARDTEC,2024-07-29T00:00:00,465.0,465.0,450.05,453.0,61901,0,True
ROHLTD,2024-07-29T00:00:00,358.0,366.0,357.0,363.5,238495,0,True
BLAL,2024-07-29T00:00:00,326.05,336.5,326.05,328.35,393554,0,True
SATINDLTD,2024-07-29T00:00:00,100.0,104.0,99.11,100.12,1163573,0,True
VIMTALABS,2024-07-29T00:00:00,557.45,557.45,537.1,540.85,26315,0,True
ZUARIIND,2024-07-29T00:00:00,390.0,390.0,379.25,384.45,126684,0,True
GSLSU,2024-07-29T00:00:00,214.0,216.62,209.86,210.55,161202,0,True
NAHARSPING,2024-07-29T00:00:00,339.0,356.0,335.1,352.35,469925,0,True
SASTASUNDR,2024-07-29T00:00:00,316.3,319.0,309.95,313.05,45996,0,True
FOCUS,2024-07-29T00:00:00,134.63,136.0,130.0,131.31,699531,0,True
KELLTONTEC,2024-07-29T00:00:00,163.25,163.8,156.5,157.14,1123013,0,True
PLATIND,2024-07-29T00:00:00,286.8,288.9,273.61,277.17,830998,0,True
KERNEX,2024-07-29T00:00:00,570.05,573.0,551.5,557.1,83749,0,True
RAMCOSYS,2024-07-29T00:00:00,389.0,389.0,365.05,368.25,59717,0,True
WALCHANNAG,2024-07-29T00:00:00,374.56,379.96,366.65,379.96,385633,0,True
UNIENTER,2024-07-29T00:00:00,163.07,166.25,163.07,164.21,6706,0,True
SEMAC,2024-07-29T00:00:00,579.95,587.95,571.0,585.0,1358,0,True
VISAKAIND,2024-07-29T00:00:00,110.0,114.95,110.0,111.45,570428,0,True
LIKHITHA,2024-07-29T00:00:00,436.3,443.0,430.0,431.9,123489,0,True
AMNPLST,2024-07-29T00:00:00,321.95,325.0,307.9,313.35,62685,0,True
GPTINFRA,2024-07-29T00:00:00,176.4,176.9,168.0,170.2,267285,0,True
NINSYS,2024-07-29T00:00:00,476.1,487.95,476.1,478.65,3153,0,True
INFOBEAN,2024-07-29T00:00:00,438.35,447.4,433.0,438.25,18453,0,True
CENTENKA,2024-07-29T00:00:00,579.9,593.4,578.05,582.8,31970,0,True
HPAL,2024-07-29T00:00:00,102.7,103.8,101.69,102.06,340093,0,True
FAZE3Q,2024-07-29T00:00:00,537.5,556.0,513.5,516.6,173938,0,True
MAXIND,2024-07-29T00:00:00,322.8,322.8,313.05,316.15,50126,0,True
VLSFINANCE,2024-07-29T00:00:00,311.0,318.25,304.2,308.45,104928,0,True
SPECIALITY,2024-07-29T00:00:00,169.6,172.99,169.0,170.43,31828,0,True
CHEMCON,2024-07-29T00:00:00,264.0,268.35,260.65,261.9,60650,0,True
PPL,2024-07-29T00:00:00,506.0,523.0,497.0,498.95,168892,0,True
NCLIND,2024-07-29T00:00:00,235.9,239.5,234.05,237.25,241163,0,True
HEXATRADEX,2024-07-29T00:00:00,201.99,203.3,199.0,203.3,35668,0,True
SCHAND,2024-07-29T00:00:00,233.4,234.05,230.07,232.76,67444,0,True
DYCL,2024-07-29T00:00:00,595.5,602.95,588.45,592.15,40795,0,True
BAJAJHCARE,2024-07-29T00:00:00,364.35,374.7,359.15,368.05,202946,0,True
RSWM,2024-07-29T00:00:00,248.0,261.0,248.0,252.15,541889,0,True
SAKAR,2024-07-29T00:00:00,330.65,335.15,326.95,331.6,15383,0,True
HMVL,2024-07-29T00:00:00,101.61,102.9,100.0,100.91,65039,0,True
INDOAMIN,2024-07-29T00:00:00,154.0,155.99,149.1,150.63,214563,0,True
RUSHIL,2024-07-29T00:00:00,371.95,373.45,349.1,351.15,390268,0,True
ADSL,2024-07-29T00:00:00,231.7,236.0,224.75,230.57,776546,0,True
DBOL,2024-07-29T00:00:00,136.8,139.25,135.99,137.03,144213,0,True
DHARMAJ,2024-07-29T00:00:00,336.0,346.95,325.6,341.55,322434,0,True
PANACEABIO,2024-07-29T00:00:00,138.66,140.99,136.5,140.01,190114,0,True
STCINDIA,2024-07-29T00:00:00,222.5,230.5,207.65,212.7,1652306,0,True
MAANALU,2024-07-29T00:00:00,140.0,142.5,139.62,140.38,90083,0,True
NRAIL,2024-07-29T00:00:00,462.9,475.45,460.05,462.85,9461,0,True
JAGSNPHARM,2024-07-29T00:00:00,394.95,404.85,394.9,396.45,49220,0,True
GHCLTEXTIL,2024-07-29T00:00:00,107.48,109.4,103.42,104.31,2405378,0,True
KOTHARIPET,2024-07-29T00:00:00,179.0,181.55,174.4,176.47,294023,0,True
CONSOFINVT,2024-07-29T00:00:00,194.82,198.94,194.5,195.96,12098,0,True
ZUARI,2024-07-29T00:00:00,208.41,214.15,208.0,208.42,245006,0,True
GRMOVER,2024-07-29T00:00:00,206.98,209.75,200.61,202.79,145722,0,True
BEDMUTHA,2024-07-29T00:00:00,223.7,225.0,215.0,217.72,26005,0,True
SUKHJITS,2024-07-29T00:00:00,529.95,546.65,527.5,532.2,64602,0,True
ESTER,2024-07-29T00:00:00,114.29,138.93,113.95,138.93,5677312,0,True
